smiles,log10(TC),PID,filler,vol%,html,id,rid,expt,Egap_trimer,Eiv_trimer,Eav_trimer,alpha_trimer,mu_trimer,density_filler,Egap_filler,modulus_filler,shape_bit1_filler,shape_bit2_filler,temperature,log10(thickness),crystal,disk,film,heat flow,laser flash,linear,plate,sheet,expt_1,expt_2,expt_3,expt_4,expt_5,expt_7,expt_8,expt_9,expt_10,expt_12,expt_14,expt_15,expt_16,expt_19,expt_26,expt_31,expt_32,expt_33,expt_34,expt_35,expt_36,expt_38,expt_40,expt_43,expt_44,expt_49,expt_50,expt_51,expt_52,expt_53,expt_56,expt_57,expt_60,expt_62,expt_65,expt_66
CCC,-0.0457574905606751,P010001,GR,8.657407407407407,2.0,47732-5-1-1,47732,19,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,0,1,23.0,-2.5228787452803374,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0457574905606751,P010001,GR,17.314814814814813,2.0,47732-3-1-1,47732,19,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,0,1,23.0,-2.5228787452803374,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0457574905606751,P010001,GR,8.657407407407407,2.0,47732-8-1-1,47732,19,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,0,1,23.0,-2.5228787452803374,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0409586076789063,P010001,BN,15.3,2.0,47223-17-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0409586076789063,P010001,BN,15.4,2.0,47223-9-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0315170514460648,P010001,BN,15.6,2.0,47223-5-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0268721464003013,P010001,BN,15.8,2.0,47223-15-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0268721464003013,P010001,BN,13.453237410071942,2.0,45008-14-1-5,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.0177287669604316,P010001,Cu,15.0,2.0,15201-3-1-2,15201,1,11.4397,11.4585,-4.5506,33.46,0.0556,9.22,0.0,139,1,1,50.0,-2.3010299956639813,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.00436480540245,P010001,BN,13.453237410071942,2.0,45008-14-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.0,P010001,BN,16.81654676258993,2.0,45008-3-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.0,P010001,BN,13.453237410071942,2.0,45008-14-1-6,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.0170333392987803,P010001,BN,16.81654676258993,2.0,45008-15-1-6,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.0253058652647702,P010001,BN,16.81654676258993,2.0,45008-15-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.041392685158225,P010001,BN,16.81654676258993,2.0,45008-11-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.0791812460476248,P010001,BN,10.089928057553957,2.0,45008-5-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.0899051114393979,P010001,BN,16.81654676258993,2.0,45008-15-1-5,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.146128035678238,P010001,GR,25.97222222222222,2.0,47732-4-1-1,47732,19,11.4397,11.4585,-4.5506,33.46,0.0556,1.94,0.0,122,0,1,23.0,-2.5228787452803374,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,0.1760912590556812,P010001,BN,20.17985611510792,2.0,45008-16-1-6,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.1760912590556812,P010001,BN,20.17985611510792,2.0,45008-4-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.1760912590556812,P010001,BN,20.17985611510792,2.0,45008-16-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.2148438480476978,P010001,BN,20.17985611510792,2.0,45008-12-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.255272505103306,P010001,BN,10.089928057553957,2.0,45008-9-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,0.255272505103306,P010001,BN,13.453237410071942,2.0,45008-6-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
